ID,CS is helpful,Recommend,Come again,All Product I need,Profesionalism ,Limitation,Online grocery,delivery,Pick up sevice,Find items,other shops,Gender,Age,Education
1,2,2,2,2,2,2,2,3,4,1,2,1,2,2
2,1,2,1,1,1,1,2,3,3,1,2,1,2,2
3,2,1,1,1,1,2,3,3,2,1,3,1,2,2
4,3,3,2,4,1,2,3,3,2,2,2,1,3,5
5,2,1,3,5,2,1,2,3,1,2,3,2,4,2
6,1,1,3,2,1,1,1,2,1,1,4,1,2,5
7,2,1,1,2,2,1,2,2,2,1,1,1,2,3
8,1,1,1,2,1,2,1,1,2,2,4,1,2,2
9,1,1,1,2,2,1,2,1,3,1,1,2,2,1
10,1,1,1,1,1,1,3,2,2,1,1,2,2,2
11,1,1,1,2,1,1,2,2,2,1,3,2,4,5
12,1,1,1,2,1,1,3,2,3,1,3,1,3,1
13,1,1,1,1,1,1,1,2,2,1,1,1,4,5
14,1,1,1,2,1,1,3,3,3,3,1,1,3,5
15,1,1,1,4,1,1,2,2,2,2,5,1,2,5
16,1,1,2,2,1,1,3,1,3,1,5,1,3,5
17,1,1,1,2,1,2,2,3,5,2,5,1,2,1
18,2,1,1,1,1,3,3,3,3,1,2,1,2,5
19,3,1,2,3,2,4,1,3,1,3,2,2,2,2
20,2,3,3,1,3,1,3,3,1,1,4,2,2,3
21,2,1,1,2,2,1,3,3,4,1,2,1,2,2
22,3,2,1,2,2,2,3,3,3,2,1,1,2,5
