state,rate,rank
South Dakota,1.9,1
Vermont,2.4,2
North Dakota,2.5,3
New Hampshire,2.6,4
Nebraska,2.8,5
Connecticut,3,6
Hawaii,3,6
Virginia,3,6
Wisconsin,3,6
Maryland,3.1,10
Montana,3.1,10
Iowa,3.2,12
Maine,3.2,12
Alabama,3.3,14
Minnesota,3.3,14
Mississippi,3.3,14
Oklahoma,3.3,14
Arkansas,3.4,18
Florida,3.4,18
Utah,3.5,20
Wyoming,3.5,20
Kansas,3.6,22
Pennsylvania,3.6,22
Tennessee,3.6,22
Delaware,3.7,25
Georgia,3.7,25
Missouri,3.7,25
North Carolina,3.7,25
Arizona,3.8,29
Idaho,3.8,29
Massachusetts,4.1,31
Oregon,4.1,31
Texas,4.2,33
West Virginia,4.2,33
Colorado,4.4,35
Louisiana,4.4,35
New Mexico,4.4,35
New York,4.4,35
Ohio,4.4,35
Indiana,4.5,40
Washington,4.5,40
New Jersey,4.6,42
Rhode Island,4.6,42
Alaska,4.7,44
South Carolina,4.7,44
Michigan,5,46
Illinois,5.2,47
Kentucky,5.2,47
California,5.5,49
District of Columbia,5.5,49
Nevada,5.7,51
